track_id,track_name,album,artist_names,primary_artist_id,genres_raw,bucket
1uiwlmWedlNpzAxDSRGqdK,Lost in You,Life Starts Now,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,post-grunge; rock,rock
0bjwkqQ0lZSIes3IW7Aeq8,Ghost in My Home,Ghost in My Home,Point North,5Vp7LqcfAtx2U1RfIX8i7r,pop-punk,pop-punk
6xcJ6hZoybYMdtzEt38Prm,Piece Of Your Heart,Sunnyland,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,pop-punk; emo,pop-punk
0aZJGkkXR3DgaFqo5sB8ot,Weightless,Nothing Personal (Deluxe Version),All Time Low,46gyXjRIvN1NL1eCB8GBxo,pop-punk; emo; punk,pop-punk
0lgiIwUU7Y10uXfKkgXdjk,In Bloom,The Peace And The Panic,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,pop-punk; punk; emo,pop-punk
05qCCJQJiOwvPQBb7akf1R,Jamie All Over,A Lesson In Romantics,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,pop-punk; emo,pop-punk
5Tj9CegEANcJq3Bq0ff1Lg,Second Chances,A Season In Hell,October Fall,3eilaX4TUE289srOysbALn,,other
1jj0Ha1vWMf32ka1adO0Q2,Blood & Water,Remade In Misery,Memphis May Fire,7cNNNhdJDrt3vgQjwSavNf,metalcore; post-hardcore; screamo,metal
5wWkbQ18TPaWq2GeJDF2O3,My Heart,All We Know Is Falling,Paramore,74XFHRwlV6OrjEM0A2NCMF,pop-punk; emo,pop-punk
0Oq5HepYwAyjSG7hNiB6YI,Euphoria,Euphoria,"Halocene, Fame on Fire",1S4xN9nvW5vlFoRBisdxUL,cover,cover
2ubUxHP2XzxO2WmcF1dJCo,Youth,If You Leave,Daughter,46CitWgnWrvF9t70C2p1Me,alternative rock; art pop; dream pop; indie folk; indie-pop; indie-rock; post-rock,alternative rock
06om1aJnEjWpJev4Z70GYW,Erase Me,Left Alone,Our Last Night,00YTqRClk82aMchQQpYMd5,post-hardcore; metalcore,metal
2NgTc6FOEMUyUvF07cVL7A,One Zero Zero,One Zero Zero,MxPx,1cSpfa4Un4NCOzeOKgGtG9,punk; skate punk; pop-punk; ska punk; ska; melodic hardcore,pop-punk
74WMwDiFR0lcwwrgaadL2C,Wake Me Up (When This Nightmare’s Over),Harder Than It Looks,Simple Plan,2p4FqHnazRucYQHyDCdBrJ,pop-punk; punk; emo,pop-punk
5qFmtU2b7EvbhFG8NZOffH,Stay,Mayday Parade (Deluxe Edition),Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,pop-punk; emo,pop-punk
1aDklx1GaBqHFowCzz63wU,The Night King,Game Of Thrones: Season 8 (Music from the HBO Series),Ramin Djawadi,1hCkSJcXREhrodeIHQdav8,soundtrack,soundtrack
4TNV2F6yCqt5ska9ojuEnA,III,III,Sleep Theory,26eBHxdouBH2KB7P6Oi9HN,alternative metal; hard rock; nu metal; rock,metal
1SbsbLsUMnAKWHx1zAV6ER,Light of the Seven,Game Of Thrones: Season 6 (Music from the HBO Series),Ramin Djawadi,1hCkSJcXREhrodeIHQdav8,soundtrack,soundtrack
3MfRql0HwuxEZzGpoIC832,Six Feet Under The Stars,"So Wrong, It's Right",All Time Low,46gyXjRIvN1NL1eCB8GBxo,pop-punk; emo; punk,pop-punk
6aTCN6Z3a08H7QlR8u2j8b,Come Pick Me Up,Come Pick Me Up,mgk,6TIYQ3jFPwQSRmorSezPxX,english; hip-hop; pop-punk; pop rap; rap rock,pop-punk
6nqCVzh5uUc85E0Kctky9r,Talk to a Friend,To Better Days,Rain City Drive,4rMxZovfLSDjEL9eI2pKo7,post-hardcore; metalcore,metal
3iMdIN3jkh6xFkxhvENU8M,Let's Pretend We're Not In Love,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
3l2hEJHZPacOETugd8Y4nf,Girls in America,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
0DixQpt3TiL9NPbO2UV95d,S-S-S-Saturday,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
1Vf0nqnwEabdliUU1zcV1a,What About Us,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
0NUUqo1mldXQdaOfLEUatV,Here's Your Freakin' Song,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
4Fl3ibvO4Qj8a3xDVzRpag,This Ain't My Day,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
3s73SlgL8tkG667Pn035re,Smiley Face (It's All Good),Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
6JzaqoCylWyaS7YFp5hF0n,Turbulence,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
0fSNqfxFG9X0RdW9qBCEKm,I've Never Done Anything Like This,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
4UV4Aj1Ktv3ZSfrAdE1flD,Friends Chicks Guitars,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
7a60H3cMeMefx8p8TwLUOe,Guard My Heart (2010),Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
0aaDC71fGE8bsufOCAuWFX,Graduation Trip,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
7d1dM4jr1PEvoKzd96JWKp,Dear Megan Fox,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
4IqY4msUWpcyjtcaH2QJJ7,Evil All Over The World,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
3mm6jdKFxGrZHGzN998Yx2,My Girlfriend's An Alcoholic,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
1YBSro2tBE08pSibKX5cJj,Here's Your Freakin' Song - Acoustic 2025,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
2r8wxNyuV1mllvb6W76rdx,Smiley Face (It's All Good) - Acoustic 2025,Fishin' For Woos (Deluxe),Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,pop-punk; punk,pop-punk
54A6tuBtPo8oEt2cYJfsxj,Self Aware,Black Mirror: Season 7 (Soundtrack from the Netflix Series),Ariel Marx,1Legop6AbLacZwD00LIEgq,,other
5LQCaQ3P2ZWySPoiKIZgY7,The Void,Black Mirror: Season 7 (Soundtrack from the Netflix Series),Ariel Marx,1Legop6AbLacZwD00LIEgq,,other
3qakxFyYkg9BtnNfwZndnr,Summer Paradise (feat. Sean Paul) - Single Version,Get Your Heart On!,"Simple Plan, Sean Paul",2p4FqHnazRucYQHyDCdBrJ,pop-punk; punk; emo; dancehall,pop-punk
0peSmoFiYGaCkHibhLBGq2,Jet Lag (feat. Natasha Bedingfield),Get Your Heart On!,"Simple Plan, Natasha Bedingfield",2p4FqHnazRucYQHyDCdBrJ,pop-punk; punk; emo,pop-punk
2wdqcce0DKklq4aSD8zADU,All My Friends,Big Ole Album Vol. 1,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,metalcore; post-hardcore; pop-punk; screamo; emo,pop-punk
3ZNBfFhZ10MrpedOl7b2p8,Burial Plot,Sleeptalk (Deluxe),Dayseeker,5FjQVp1Lb0kltmwIuu5kfj,metalcore; post-hardcore,metal
6oeHlqR08CwnzOeCpF0GzR,Left Alone,Left Alone,Our Last Night,00YTqRClk82aMchQQpYMd5,post-hardcore; metalcore,metal
2r2lUNfNpPuMOFLhN4tABQ,Incomplete,Over The Edge,"408, Rivals",1m2wYIvVYvhEnvdaOJbIfT,pop-punk,pop-punk
2f9Q4ahb9KVOQoK302dEpq,Don't Let Me Get Too Low,Antibloom,Silverstein,1Tsag5J854qxeOo2apszug,post-hardcore; screamo; emo; metalcore; pop-punk,pop-punk
5NRpxJxtR6JkUhQS4F0um6,Emergence,Emergence,Sleep Token,2n2RSaZqBuUUukhbLlpnE6,progressive metal; metalcore,metal
4DWLEmAwkbQBaubUlJhsra,Cavanaugh Park,Played In Space: The Best of Something Corporate,Something Corporate,71h7GTahhKcSkQ1ayhTvOD,pop-punk; emo,pop-punk
2SMYQhVrLA7NRjUxAVghSH,Shut Up!,Still Not Getting Any...,Simple Plan,2p4FqHnazRucYQHyDCdBrJ,pop-punk; punk; emo,pop-punk
3R5RQp9A41pp7l9qHNLGzF,Backfired,Out Of It,"408, Taylor Acorn",1m2wYIvVYvhEnvdaOJbIfT,pop-punk,pop-punk
1Ztka7fCyxUv46FW1mZH9T,December (again) [feat. Mark Hoppus],December,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,pop-punk; punk; emo,pop-punk
4oVdhvxZrKQTM9ZsUIZa3S,December,Life's Not Out To Get You,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,pop-punk; punk; emo,pop-punk
0tCY9d7kgMHsfXu7szXf0f,Last Dance,Eye For An Eye...,Butcher Babies,6FcvjJzvxgybo7Ywsj0hRj,groove metal; metal,metal
5oFQ9nasnpNPt3QrUrx7vu,Sleeping with the Enemy,Eye For An Eye...,Butcher Babies,6FcvjJzvxgybo7Ywsj0hRj,groove metal; metal,metal
5z7dtFHg2AxZmaowYc03FV,Bottom of a Bottle,Eye For An Eye...,Butcher Babies,6FcvjJzvxgybo7Ywsj0hRj,groove metal; metal,metal
5t1KCCeXlFpP0ka9lzCiTV,Requiem,Requiem,Transgressions,6iVmrpnjoXKSU7klaRj8su,,other
5HUQGL9fZ2pgRI3KtcJj9P,Stranger to Myself,Stranger to Myself,Transgressions,6iVmrpnjoXKSU7klaRj8su,,other
3j2KSKjenkrIsnoANPxV7V,A Beautiful Game,A Beautiful Game,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,soft pop,soft pop
074mNWb0RaPPO2VearuzNf,Fought & Lost (feat. Brian May),Fought & Lost (feat. Brian May),"Sam Ryder, Brian May",1rvnJJghrxl1xakJZct08m,eurovision 2022 artists; pop; english; glam rock; hard rock; heavy metal; metal; pop rock; progressive rock; queen; rock,metal
5jzX4dWVQeBTtfBaXnMRt5,DONTTRUSTME,WANT,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,2010s; alternative dance; crunkcore; electronic; electronic rock; electropop; pop; pop rock; synth-pop,rock
12mF5rnbbT7jNqiBv8NBFt,My Friends Over You,Sticks and Stones,New Found Glory,4ghjRm4M2vChDfTUycx0Ce,pop-punk; punk; emo,pop-punk
0J69x3mqm7U6tBPKsjpsWR,"Dear Maria, Count Me In","So Wrong, It's Right",All Time Low,46gyXjRIvN1NL1eCB8GBxo,pop-punk; emo; punk,pop-punk
3MAfSTarsPGtSxlmA6IBSS,Nobody Likes Your Girlfriend,Nobody Likes Your Girlfriend,"Nate Smith, HARDY",4NYMUsIcUUsBHbV9DICa5x,country; country rock,rock
3yOuUbbP1bcpA79Z6U694p,Incomplete,Incomplete,"408, Rivals",1m2wYIvVYvhEnvdaOJbIfT,pop-punk,pop-punk
1ATQ3x83vDSmiSY8PvHrXJ,Malibu,Malibu,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,folk; indie folk; folk rock,rock
2qlAZBGo6W6tSSiwDPcEUJ,All The Same,All The Same,i am Lionel,58df9BjVKr1qSX527ckmdj,hip-hop; marseille,hip-hop
4W2C0kay0XjSKr7oUAiREP,The Wolves,The Wolves,State of Mine,78u21hh7csceByaxzd7pbh,,other
6BwseuubFSfPjNK2H5qQUQ,Towards You,Towards You,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,pop-punk; emo,pop-punk
1rcZspyKL7dhmV3gj8PT8p,Holy Water (feat. Ivan Moody of Five Finger Death Punch),Holy Water (feat. Ivan Moody of Five Finger Death Punch),"The Funeral Portrait, Five Finger Death Punch",4iGsihTcyZ80RQFZhC8bf8,metal; groove metal; heavy metal; hard rock; rock,metal
5oXWoQqcLwCGdZtDC7QhOB,Tidal Wave,Tidal Wave,Our Last Night,00YTqRClk82aMchQQpYMd5,post-hardcore; metalcore,metal
5YY4YVwf4pOfqARgCRVviB,Landslide,Landslide,Millington,674oSgXMvyLNHMGQKHcUpp,ska punk; ska; pop-punk,pop-punk
2AuL433Flx4rD4vhKMc0py,Rushmere,Malibu,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,folk; indie folk; folk rock,rock
3Ai8swkl3r7q5TzaOFcpXu,Static,Static,Sleep Theory,26eBHxdouBH2KB7P6Oi9HN,alternative metal; hard rock; nu metal; rock,metal
35N9LmzkCjMd2ZmAATzG6U,Stuck In My Head,Stuck In My Head,Sleep Theory,26eBHxdouBH2KB7P6Oi9HN,alternative metal; hard rock; nu metal; rock,metal
6eHkHIGGcGatFhhqeuRWFN,Thank God It's Friday,The Silver Scream,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,metalcore; metal,metal
5qA1ZzhOcvPgUkqTZUpHyM,You'll Never Walk Alone,You'll Never Walk Alone,Marcus Mumford,3bYcjbVAN3rAuU3TMzw2mB,,other
7JWIKtAToWqvAl1qlpsjlC,Learn Me Right,Indomable,"Birdy, Mumford & Sons",2WX2uTcsvV5OnS0inACecP,folk; indie folk; folk rock,rock
5VemD3t5rwdj4zZlpiX8xh,Forever,Delta,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,folk; indie folk; folk rock,rock
17t6PiCIh157r7lSpk2IVf,Love Story - Matt's Version,The End?,"Your Broken Hero, The Almost",2DTdvOlm8xrGEKe9JsaLeD,pop-punk; emo; christian alternative rock; christian rock,pop-punk
7uYaXEjA5tBQi4UMcqAO83,Forever,Forever,iNTeRNeT FReNDz,39cwLbXiKVLL1EOQmQd0kJ,pop-punk,pop-punk
1TZdXhLdC5HJl061JWLvy4,Warning Signs,Warning Signs,iNTeRNeT FReNDz,39cwLbXiKVLL1EOQmQd0kJ,pop-punk,pop-punk
5d6nTdahyEnH1TILFC0Tp3,Just The Way You Are,"Punk Goes Pop, Vol. 4",Pierce The Veil,4iJLPqClelZOBCBifm8Fzv,emo; screamo; post-hardcore,emo
0OavtQSojULqejmC4Qbstr,"Unchained Melody - Live at Ann Arbor, MI",Moody Blue,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,rockabilly; rock and roll,rock
7htt7UuxHL5wneOcMWJP5E,Take On Me - MTV Unplugged,MTV Unplugged - Summer Solstice,a-ha,2jzc5TC5TVFLXQlBNiIUzE,new wave; synthpop,electronic
1GKdDBOZfhi29h8jEE94pM,Iris,"From The Screen To Your Stereo, Pt. II",New Found Glory,4ghjRm4M2vChDfTUycx0Ce,pop-punk; punk; emo,pop-punk
2gT72HL4Y84K2Mle3miAMJ,DiE4u,DiE4u,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,metalcore; emo; screamo; rock; post-hardcore,emo
4q9cDuVPs6DEdERMN2dOFm,Crossroads,Millington,"Millington, The Waffle Stompers",674oSgXMvyLNHMGQKHcUpp,ska punk; ska; pop-punk,pop-punk
373ZGqxIleZIXKuGfNlfg8,Epiphany,TRIAL & ERROR,UNWELL,6HgyYcL2o79g16VeIUdnne,pop-punk,pop-punk
7dqnzpkIXuliQjtleYp8cE,Drama King,Out Of It,408,1m2wYIvVYvhEnvdaOJbIfT,pop-punk,pop-punk
1xeq34bEOrPYWIaaXUoaa5,Fade Away,Fade Away,Further Within,08XrWK37vIbJSnhAwoOAnQ,metalcore,metal
6RcsAN8XF5KX6mMh6dum8e,Pittsburgh (No Intro),Let the Ocean Take Me,The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK,metalcore; post-hardcore; screamo,metal
7Ad26DMcwyqYkcjR69g36k,Falling Under,Gravity,Kiyo,3WPTsMdNZY3cEeWUcKrkpt,,other
